x-axis,1,2,3
second,Volt,Volt,Volt
-8.8000E-06,+31.3750000000E+00,+887.4999993E-03,+800.0001907E-03
-8.7900E-06,+31.3750000000E+00,+824.9999993E-03,+737.5001907E-03
-8.7800E-06,+32.0000000000E+00,+793.7499993E-03,+800.0001907E-03
-8.7700E-06,+32.0000000000E+00,+762.4999993E-03,+800.0001907E-03
-8.7600E-06,+32.0000000000E+00,+731.2499993E-03,+737.5001907E-03
-8.7500E-06,+32.6250000000E+00,+793.7499993E-03,+737.5001907E-03
-8.7400E-06,+32.6250000000E+00,+824.9999993E-03,+800.0001907E-03
-8.7300E-06,+32.6250000000E+00,+856.2499993E-03,+737.5001907E-03
-8.7200E-06,+33.2500000000E+00,+949.9999993E-03,+737.5001907E-03
-8.7100E-06,+32.6250000000E+00,+1.0124999993E+00,+800.0001907E-03
-8.7000E-06,+33.2500000000E+00,+981.2499993E-03,+737.5001907E-03
-8.6900E-06,+33.8750000000E+00,+918.7499993E-03,+737.5001907E-03
-8.6800E-06,+33.2500000000E+00,+918.7499993E-03,+800.0001907E-03
-8.6700E-06,+33.2500000000E+00,+918.7499993E-03,+737.5001907E-03
-8.6600E-06,+34.5000000000E+00,+887.4999993E-03,+800.0001907E-03
-8.6500E-06,+33.8750000000E+00,+918.7499993E-03,+737.5001907E-03
-8.6400E-06,+33.8750000000E+00,+918.7499993E-03,+737.5001907E-03
-8.6300E-06,+34.5000000000E+00,+918.7499993E-03,+737.5001907E-03
-8.6200E-06,+34.5000000000E+00,+918.7499993E-03,+737.5001907E-03
-8.6100E-06,+34.5000000000E+00,+856.2499993E-03,+737.5001907E-03
-8.6000E-06,+33.8750000000E+00,+856.2499993E-03,+737.5001907E-03
-8.5900E-06,+34.5000000000E+00,+824.9999993E-03,+800.0001907E-03
-8.5800E-06,+35.1250000000E+00,+856.2499993E-03,+737.5001907E-03
-8.5700E-06,+34.5000000000E+00,+856.2499993E-03,+800.0001907E-03
-8.5600E-06,+34.5000000000E+00,+824.9999993E-03,+737.5001907E-03
-8.5500E-06,+34.5000000000E+00,+887.4999993E-03,+737.5001907E-03
-8.5400E-06,+35.1250000000E+00,+887.4999993E-03,+737.5001907E-03
-8.5300E-06,+34.5000000000E+00,+856.2499993E-03,+737.5001907E-03
-8.5200E-06,+34.5000000000E+00,+887.4999993E-03,+737.5001907E-03
-8.5100E-06,+34.5000000000E+00,+887.4999993E-03,+737.5001907E-03
-8.5000E-06,+35.1250000000E+00,+887.4999993E-03,+737.5001907E-03
-8.4900E-06,+35.1250000000E+00,+856.2499993E-03,+737.5001907E-03
-8.4800E-06,+34.5000000000E+00,+856.2499993E-03,+737.5001907E-03
-8.4700E-06,+34.5000000000E+00,+856.2499993E-03,+737.5001907E-03
-8.4600E-06,+35.1250000000E+00,+918.7499993E-03,+737.5001907E-03
-8.4500E-06,+35.1250000000E+00,+949.9999993E-03,+737.5001907E-03
-8.4400E-06,+34.5000000000E+00,+949.9999993E-03,+737.5001907E-03
-8.4300E-06,+34.5000000000E+00,+981.2499993E-03,+800.0001907E-03
-8.4200E-06,+34.5000000000E+00,+887.4999993E-03,+737.5001907E-03
-8.4100E-06,+34.5000000000E+00,+856.2499993E-03,+737.5001907E-03
-8.4000E-06,+34.5000000000E+00,+793.7499993E-03,+737.5001907E-03
