x-axis,1,2
second,Volt,Volt
-120.00000E-06,+9.48749995231E+00,+10.13750004768E+00
-119.98000E-06,+9.42499995232E+00,+10.07500004769E+00
-119.96000E-06,+9.42499995232E+00,+10.13750004768E+00
-119.94000E-06,+9.42499995232E+00,+10.13750004768E+00
-119.92000E-06,+9.48749995231E+00,+10.13750004768E+00
-119.90000E-06,+9.54999995231E+00,+10.13750004768E+00
-119.88000E-06,+9.48749995232E+00,+10.13750004768E+00
-119.86000E-06,+9.54999995231E+00,+10.07500004769E+00
-119.84000E-06,+9.48749995232E+00,+10.13750004768E+00
-119.82000E-06,+9.54999995231E+00,+10.07500004769E+00
-119.80000E-06,+9.54999995232E+00,+10.13750004768E+00
-119.78000E-06,+9.54999995232E+00,+10.07500004769E+00
-119.76000E-06,+9.54999995232E+00,+10.13750004768E+00
-119.74000E-06,+9.54999995232E+00,+10.13750004768E+00
-119.72000E-06,+9.54999995232E+00,+10.13750004768E+00
-119.70000E-06,+9.61249995231E+00,+10.13750004768E+00
-119.68000E-06,+9.61249995232E+00,+10.07500004769E+00
-119.66000E-06,+9.54999995232E+00,+10.07500004768E+00
-119.64000E-06,+9.54999995232E+00,+10.13750004768E+00
-119.62000E-06,+9.61249995231E+00,+10.07500004769E+00
-119.60000E-06,+9.67499995231E+00,+10.13750004768E+00
-119.58000E-06,+9.61249995232E+00,+10.07500004769E+00
-119.56000E-06,+9.61249995232E+00,+10.13750004768E+00
-119.54000E-06,+9.61249995232E+00,+10.13750004768E+00
-119.52000E-06,+9.67499995231E+00,+10.13750004768E+00
-119.50000E-06,+9.61249995232E+00,+10.13750004768E+00
-119.48000E-06,+9.67499995231E+00,+10.13750004768E+00
-119.46000E-06,+9.54999995233E+00,+10.13750004768E+00
-119.44000E-06,+9.67499995231E+00,+10.13750004768E+00
-119.42000E-06,+9.67499995232E+00,+10.07500004769E+00
-119.40000E-06,+9.61249995232E+00,+10.13750004768E+00
-119.38000E-06,+9.61249995232E+00,+10.07500004769E+00
-119.36000E-06,+9.61249995232E+00,+10.20000004767E+00
-119.34000E-06,+9.61249995232E+00,+10.07500004769E+00
-119.32000E-06,+9.67499995231E+00,+10.13750004768E+00
-119.30000E-06,+9.61249995232E+00,+10.07500004769E+00
-119.28000E-06,+9.61249995232E+00,+10.13750004768E+00
-119.26000E-06,+9.61249995232E+00,+10.07500004769E+00
-119.24000E-06,+9.67499995231E+00,+10.07500004768E+00
-119.22000E-06,+9.73749995231E+00,+10.07500004768E+00
-119.20000E-06,+9.67499995232E+00,+10.07500004768E+00
-119.18000E-06,+9.67499995232E+00,+10.07500004768E+00
-119.16000E-06,+9.67499995232E+00,+10.13750004768E+00
-119.14000E-06,+9.73749995231E+00,+10.07500004769E+00
-119.12000E-06,+9.67499995232E+00,+10.07500004768E+00
-119.10000E-06,+9.67499995232E+00,+10.07500004768E+00
-119.08000E-06,+9.67499995232E+00,+10.13750004768E+00
-119.06000E-06,+9.73749995231E+00,+10.07500004769E+00
-119.04000E-06,+9.67499995232E+00,+10.13750004768E+00
-119.02000E-06,+9.67499995232E+00,+10.07500004769E+00
-119.00000E-06,+9.61249995232E+00,+10.07500004768E+00
-118.98000E-06,+9.67499995231E+00,+10.07500004768E+00
-118.96000E-06,+9.67499995232E+00,+10.07500004768E+00
-118.94000E-06,+9.67499995232E+00,+10.07500004768E+00
-118.92000E-06,+9.67499995232E+00,+10.13750004768E+00
-118.90000E-06,+9.61249995232E+00,+10.07500004769E+00
-118.88000E-06,+9.67499995231E+00,+10.13750004768E+00
-118.86000E-06,+9.73749995231E+00,+10.07500004769E+00
-118.84000E-06,+9.67499995232E+00,+10.07500004768E+00
-118.82000E-06,+9.61249995232E+00,+10.07500004768E+00
-118.80000E-06,+9.67499995231E+00,+10.13750004768E+00
-118.78000E-06,+9.73749995231E+00,+10.07500004769E+00
-118.76000E-06,+9.67499995232E+00,+10.07500004768E+00
-118.74000E-06,+9.73749995231E+00,+10.07500004768E+00
